area_type,availability,location,size,society,total_sqft,bath,balcony,price
Plot  Area,12,Other,2,Other,1000,2,1.0,55.0
Built-up  Area,8,Other,2,Other,1090,2,2.0,31.48
Plot  Area,0,TC Palaya,2,Other,1200,2,0.0,60.0
Super built-up  Area,0,Budigere,3,PrityTr,1991,4,2.0,103.0
Super built-up  Area,10,Other,2,Other,1060,2,1.0,26.5
Super built-up  Area,0,Other,2,Other,1105,2,1.0,75.0
Built-up  Area,0,Hoodi,2,Other,985,2,2.0,67.0
Plot  Area,0,Chandapura,6,Other,1533,5,3.0,85.0
Super built-up  Area,7,Other,3,Other,1590,3,2.0,79.0
Super built-up  Area,0,Other,2,Other,1120,2,2.0,55.0
Super built-up  Area,0,Other,2,Other,1069,2,1.0,55.0
Super built-up  Area,0,Marathahalli,3,Other,1933,3,2.0,140.0
Built-up  Area,3,Other,2,Other,1194,2,0.0,69.0
Super built-up  Area,0,Other,2,Other,1150,2,3.0,69.0
Super built-up  Area,0,Other,2,Other,1240,2,2.0,47.12
Super built-up  Area,0,Raja Rajeshwari Nagar,2,GrrvaGr,1419,2,2.0,48.1
Plot  Area,0,7th Phase JP Nagar,8,Other,1200,8,2.0,250.0
Super built-up  Area,0,Other,3,Other,2150,4,2.0,240.0
Super built-up  Area,0,Other,3,Other,1450,3,2.0,55.0
Super built-up  Area,7,Other,3,Other,1630,3,2.0,68.29
Super built-up  Area,0,Other,2,Other,708,1,1.0,40.0
Plot  Area,0,Kasavanhalli,3,Other,1000,4,3.0,110.0
Super built-up  Area,0,Bellandur,2,Other,1250,2,1.0,76.0
Super built-up  Area,0,7th Phase JP Nagar,3,Other,1400,2,1.0,95.0
Super built-up  Area,0,Sarjapur  Road,3,Other,1670,2,3.0,57.0
Super built-up  Area,0,Other,3,Other,1750,3,2.0,100.0
Super built-up  Area,0,Other,2,Prlla C,1404,2,1.0,71.0
Super built-up  Area,0,Hoodi,3,Other,1715,2,2.0,95.0
Built-up  Area,4,Electronic City,1,Prarkun,630,1,1.0,34.65
Super built-up  Area,0,Harlur,3,Other,1752,3,2.0,135.0
Super built-up  Area,0,Hulimavu,3,Other,1650,3,2.0,78.0
Super built-up  Area,0,Raja Rajeshwari Nagar,2,GrrvaGr,1295,2,1.0,55.47
Plot  Area,0,Other,3,Other,1800,3,2.0,252.0
Super built-up  Area,9,Sarjapur  Road,2,Other,1346,2,1.0,74.03
Plot  Area,0,Other,4,Other,1200,4,2.0,200.0
Super built-up  Area,0,Hormavu,2,Other,1150,2,2.0,55.0
Built-up  Area,0,Other,4,Other,3309,4,3.0,325.0
Super built-up  Area,5,Chandapura,3,SunceEs,1190,2,2.0,30.35
Super built-up  Area,0,Other,3,Other,1620,3,2.0,98.0
Super built-up  Area,4,Marathahalli,2,Other,950,2,1.0,46.96
Super built-up  Area,0,Other,10+,Other,5000,9,3.0,360.0
Super built-up  Area,0,Harlur,3,Other,2450,3,0.0,120.0
Super built-up  Area,5,Electronic City Phase II,3,Sryalan,1220,2,1.0,35.23
Super built-up  Area,0,Other,2,Other,850,2,1.0,30.0
Built-up  Area,0,Other,2,Other,1020,2,2.0,63.0
Built-up  Area,0,Other,2,Other,1100,2,2.0,50.0
Super built-up  Area,0,Other,2,Other,1150,2,2.0,126.0
Super built-up  Area,12,Hebbal,3,Other,1760,2,2.0,130.0
Super built-up  Area,0,Other,3,Other,1800,3,3.0,110.0
Super built-up  Area,0,Akshaya Nagar,2,Other,1070,2,1.0,54.0
Plot  Area,0,Other,4,Other,1500,4,2.0,220.0
Plot  Area,0,Other,2,Other,1440,2,0.0,95.0
Super built-up  Area,0,Other,2,Other,900,2,1.0,40.0
Built-up  Area,0,Other,4,Other,1200,4,1.0,230.0
Super built-up  Area,5,Whitefield,2,Other,1130,2,1.0,42.16
Super built-up  Area,0,Koramangala,2,Other,1320,2,1.0,165.0
Super built-up  Area,6,Other,2,Other,1270,2,1.0,98.0
Built-up  Area,0,Other,2,Other,1200,2,1.0,62.0
Super built-up  Area,0,Other,4,Other,4800,4,2.0,235.0
Super built-up  Area,0,Other,2,Other,1200,2,1.0,74.0
Super built-up  Area,0,Other,2,Other,929,2,0.0,50.17
Built-up  Area,0,Other,4,Other,1150,4,2.0,260.0
Plot  Area,0,Other,4,Other,1125,4,3.0,180.0
Plot  Area,0,Other,5,Other,500,3,2.0,65.0
Plot  Area,0,Other,5,Other,1200,5,2.0,190.0
Super built-up  Area,0,Other,3,Other,1464,3,2.0,56.0
Super built-up  Area,0,7th Phase JP Nagar,4,Other,3600,4,3.0,400.0
Plot  Area,0,Other,4,Other,2000,4,2.0,99.0
Super built-up  Area,0,Other,2,Other,1208,2,1.0,49.0
Super built-up  Area,0,Other,2,Other,1130,2,2.0,60.0
Super built-up  Area,0,Other,3,Other,1753,3,2.0,120.0
Super built-up  Area,0,Old Madras Road,5,Other,4500,7,3.0,337.0
Plot  Area,0,Other,3,Other,600,3,2.0,58.0
Super built-up  Area,6,Hoodi,2,GoAirej,1196,2,2.0,94.42
Built-up  Area,0,Other,2,Other,1150,3,3.0,52.5
Super built-up  Area,4,Electronic City,2,Prarkun,1128,2,1.0,63.0
Super built-up  Area,0,Other,2,Other,1000,2,1.0,53.0
Super built-up  Area,0,Yelahanka,2,Other,1035,2,1.0,45.0
Built-up  Area,0,Other,2,Other,950,2,1.0,32.0
Super built-up  Area,0,Bisuvanahalli,3,Prityel,1075,2,1.0,36.0
Super built-up  Area,0,Whitefield,2,Other,1040,2,1.0,48.5
Plot  Area,10,Other,2,Other,720,2,1.0,45.0
Super built-up  Area,0,Other,3,Other,1511,3,1.0,95.0
Built-up  Area,0,Other,3,Other,1300,3,1.0,58.0
Super built-up  Area,12,Hoodi,3,Other,1545,3,1.0,68.75
Super built-up  Area,0,Other,2,Other,1062,2,3.0,38.0
Super built-up  Area,0,Other,2,Other,1115,2,1.0,40.0
Super built-up  Area,0,JP Nagar,2,Other,1000,2,1.0,35.0
Super built-up  Area,5,Other,2,Other,883,2,1.0,45.0
Super built-up  Area,4,Sarjapur  Road,2,Other,1195,2,1.0,70.0
Plot  Area,0,Other,4,Other,1200,3,1.0,165.0
Built-up  Area,0,Other,1,Other,700,1,0.0,41.0
Super built-up  Area,0,Other,2,Prlla C,1246,2,1.0,67.0
Plot  Area,0,8th Phase JP Nagar,4,Other,660,4,2.0,90.0
Super built-up  Area,0,Other,4,Other,1600,4,1.0,80.0
Super built-up  Area,12,Haralur Road,4,SNnia E,2805,5,3.0,154.0
Super built-up  Area,0,Begur Road,3,Other,1584,3,2.0,65.0
Plot  Area,0,Other,4,Other,3000,5,1.0,275.0
Built-up  Area,0,Other,3,Other,1175,2,2.0,48.0
Built-up  Area,7,Other,3,Other,1595,3,2.0,115.0
Super built-up  Area,0,Other,2,Other,1353,2,2.0,110.0
Super built-up  Area,4,Electronic City,3,Prarkun,1599,3,2.0,125.0
Super built-up  Area,0,Whitefield,2,Other,1150,2,1.0,70.0
Super built-up  Area,0,KR Puram,2,Other,1155,2,2.0,42.74
Built-up  Area,0,Other,1,Other,1200,2,0.0,85.0
Super built-up  Area,7,Electronic City Phase II,2,Other,1000,2,1.0,25.0
Super built-up  Area,0,Thanisandra,4,Other,3000,4,2.0,120.0
Built-up  Area,0,Other,3,Other,1867,3,1.0,160.0
Super built-up  Area,6,Ramagondanahalli,2,Other,1251,2,1.0,47.0
Super built-up  Area,4,Other,2,Other,1028,2,1.0,45.5
Super built-up  Area,0,Other,2,Other,1222,2,2.0,45.0
Super built-up  Area,0,Bannerghatta Road,3,SNity S,1170,2,1.0,66.0
Super built-up  Area,0,Hebbal,3,Other,2400,4,1.0,245.0
Super built-up  Area,0,Other,3,Other,1385,2,2.0,48.48
Super built-up  Area,0,HSR Layout,2,Other,1372,2,1.0,68.0
Super built-up  Area,0,Other,3,Other,1282,2,2.0,49.0
Super built-up  Area,0,Other,9,Other,5000,9,3.0,210.0
Built-up  Area,0,Other,5,Other,3000,3,1.0,528.0
Super built-up  Area,0,Kanakpura Road,2,Other,1135,2,1.0,39.73
Built-up  Area,12,Whitefield,3,Other,1768,3,2.0,101.0
Built-up  Area,0,Other,3,Other,1325,2,1.0,90.0
Super built-up  Area,4,Electronic City,3,Prarkun,1599,3,2.0,99.0
Plot  Area,3,Whitefield,3,Other,1500,3,1.0,61.95
Plot  Area,0,Other,3,Other,2610,3,0.0,499.0
Super built-up  Area,0,Uttarahalli,2,Other,1286,2,2.0,63.0
Built-up  Area,0,Other,5,Other,2845,5,1.0,140.0
Super built-up  Area,0,Other,3,Other,1600,2,2.0,50.0
Super built-up  Area,9,Hennur Road,2,Other,1318,2,0.0,63.77
Super built-up  Area,0,Hebbal,3,Other,3450,5,2.0,260.0
Super built-up  Area,4,Other,2,Other,1102,2,2.0,53.67
Super built-up  Area,0,Yelahanka,2,Other,1350,2,2.0,54.0
Super built-up  Area,0,Banashankari,3,Other,1200,2,2.0,42.0
Plot  Area,0,Hosa Road,6,Other,1300,6,0.0,145.0
Plot  Area,0,Other,2,Other,1800,1,1.0,80.0
Built-up  Area,0,Other,2,Other,950,2,1.0,40.0
Super built-up  Area,12,Kanakpura Road,1,PrarePa,525,1,1.0,27.25
Built-up  Area,0,Other,2,Other,656,2,1.0,25.0
Plot  Area,0,Marathahalli,4,Other,1780,4,3.0,175.0
Super built-up  Area,0,Other,2,Other,1056,2,1.0,80.0
Super built-up  Area,2,Bannerghatta Road,1,Other,595,1,1.0,33.32
Built-up  Area,0,Other,2,Other,1080,2,2.0,50.0
Super built-up  Area,12,7th Phase JP Nagar,3,Other,2225,3,1.0,160.0
Super built-up  Area,8,Other,2,Other,1126,2,1.0,28.15
Super built-up  Area,0,Electronics City Phase 1,3,Other,1490,3,1.0,84.0
Plot  Area,0,Other,4,Other,2000,4,1.0,300.0
Super built-up  Area,0,Sarjapur  Road,3,Other,1550,3,3.0,100.0
Super built-up  Area,0,Other,3,Other,1600,3,2.0,86.0
Built-up  Area,0,Other,2,Other,1160,2,1.0,55.0
Built-up  Area,0,Whitefield,4,Other,4144,4,3.0,315.0
Super built-up  Area,0,Sarjapur  Road,3,Other,2100,3,2.0,125.0
Super built-up  Area,0,Other,2,Prlla C,1404,2,1.0,69.3
Plot  Area,0,Sarjapur  Road,4,Other,2230,4,3.0,225.0
Super built-up  Area,0,Other,3,Other,1544,3,2.0,120.0
Super built-up  Area,5,Other,3,Other,1305,2,1.0,58.7
Super built-up  Area,0,Marathahalli,2,Other,1230,2,2.0,80.0
Plot  Area,0,Other,2,Other,1200,2,0.0,65.0
Super built-up  Area,0,Harlur,3,Other,1460,3,1.0,73.0
Plot  Area,0,Sarjapur  Road,3,Other,1800,2,2.0,34.185
Built-up  Area,0,Other,2,Other,967,2,3.0,45.0
Built-up  Area,0,Other,1,Other,540,1,1.0,36.0
Super built-up  Area,12,Hormavu,1,Other,715,1,2.0,46.0
Super built-up  Area,0,Whitefield,3,Other,2500,3,2.0,313.0
Super built-up  Area,0,Other,3,Other,1578,3,1.0,180.0
Super built-up  Area,0,Mysore Road,2,Other,1020,2,1.0,48.95
Super built-up  Area,0,Jigani,2,Other,1020,2,1.0,40.0
Super built-up  Area,0,Koramangala,2,Other,1253,2,1.0,102.0
Super built-up  Area,0,Other,2,Other,1180,2,2.0,42.0
Super built-up  Area,0,Other,2,Other,961,2,2.0,38.0
Built-up  Area,0,Other,3,Other,1419,3,3.0,75.0
Super built-up  Area,0,Harlur,3,Other,1709,3,2.0,150.0
Plot  Area,0,Other,2,Other,1600,2,0.0,115.0
Super built-up  Area,7,Other,1,Other,416,1,1.0,18.5
Carpet  Area,0,Other,2,Other,1100,2,2.0,98.0
Super built-up  Area,0,HSR Layout,3,Other,1430,2,1.0,65.0
Super built-up  Area,0,Other,2,Other,1260,2,2.0,45.0
Built-up  Area,0,Other,3,Other,1630,3,2.0,85.0
Super built-up  Area,5,Sarjapur  Road,3,Other,1249,3,2.0,44.71
Super built-up  Area,0,Other,3,Other,1450,2,3.0,85.0
Super built-up  Area,11,Other,3,Other,2791,3,1.0,223.0
Super built-up  Area,0,Other,1,Other,600,1,0.0,90.0
Built-up  Area,0,Other,1,Other,834,1,1.0,60.0
Plot  Area,0,Other,3,Other,1125,4,1.0,70.0
Super built-up  Area,0,Other,3,Other,2060,3,2.0,140.0
Built-up  Area,0,Other,2,Other,891,2,1.0,25.0
Super built-up  Area,0,Raja Rajeshwari Nagar,2,GrrvaGr,1133,2,1.0,49.07
Built-up  Area,0,Bisuvanahalli,3,Prityel,1075,2,1.0,37.0
Super built-up  Area,5,Other,4,Other,3000,5,2.0,260.0
Plot  Area,0,Other,4,Other,2440,5,2.0,425.0
Built-up  Area,0,Other,2,Other,1200,2,2.0,55.0
Super built-up  Area,0,Thanisandra,2,Other,1075,2,2.0,45.8
Super built-up  Area,0,Kaggadasapura,2,Other,1140,2,2.0,40.0
Plot  Area,0,Other,5,Other,940,4,2.0,150.0
Plot  Area,0,Other,6,Other,2160,5,1.0,250.0
Super built-up  Area,0,Raja Rajeshwari Nagar,2,Other,1090,2,1.0,42.0
Built-up  Area,0,Other,4,Other,1500,4,1.0,70.0
Super built-up  Area,0,Whitefield,4,Other,4104,4,2.0,360.0
Super built-up  Area,0,Whitefield,3,Other,1790,3,2.0,100.0
Super built-up  Area,12,Hebbal,3,Other,1920,3,2.0,134.0
Built-up  Area,0,Other,2,Other,1374,2,2.0,95.0
Carpet  Area,0,Bannerghatta Road,3,Other,1445,3,2.0,95.0
Super built-up  Area,12,Other,1,Other,711,1,1.0,36.0
Super built-up  Area,0,Other,3,Other,1500,3,3.0,95.0
Super built-up  Area,0,Whitefield,3,Other,1720,3,3.0,100.0
Super built-up  Area,0,Other,3,Other,1400,3,2.0,60.0
Built-up  Area,0,Other,2,Other,1030,2,2.0,49.0
Super built-up  Area,0,Mysore Road,2,Other,1200,2,1.0,85.0
Carpet  Area,7,Other,3,Other,1375,3,2.0,70.0
Plot  Area,0,Other,2,Other,1050,1,2.0,56.0
Super built-up  Area,0,Jalahalli,3,Other,2250,3,2.0,160.0
Super built-up  Area,0,Bellandur,2,Other,1000,2,2.0,50.0
Super built-up  Area,0,Other,1,Other,469,1,0.0,25.0
Super built-up  Area,0,Marathahalli,4,Other,3800,4,3.0,250.0
Super built-up  Area,0,Other,2,Other,883,2,1.0,29.0
Super built-up  Area,0,Other,3,Other,1820,2,3.0,86.0
Built-up  Area,0,Other,3,Other,1440,2,3.0,65.0
Super built-up  Area,0,Other,6,Other,3600,4,1.0,160.0
Built-up  Area,0,Malleshwaram,4,Other,2500,5,2.0,325.0
Super built-up  Area,8,Other,2,Other,1225,2,2.0,48.0
Plot  Area,0,Other,3,Other,4000,3,1.0,660.0
Carpet  Area,0,Other,2,Other,875,2,3.0,52.8
Super built-up  Area,0,Other,1,Other,750,1,2.0,40.0
Super built-up  Area,0,Other,2,Other,1180,2,3.0,80.0
Super built-up  Area,0,Haralur Road,2,Other,1194,2,2.0,47.0
Super built-up  Area,0,Hennur Road,3,Other,1500,2,2.0,62.0
Super built-up  Area,0,Other,2,Other,1160,2,2.0,52.2
Built-up  Area,0,Other,9,Other,4125,9,2.0,265.0
Super built-up  Area,0,Other,3,Other,2378,3,1.0,262.0
Super built-up  Area,0,Sarjapur,2,Other,1128,2,1.0,60.0
Super built-up  Area,0,Hebbal,3,Other,1500,3,1.0,150.0
Built-up  Area,8,Other,3,Other,1220,2,1.0,35.23
Super built-up  Area,0,Sarjapur  Road,2,Other,1210,2,2.0,58.0
Super built-up  Area,10,Kanakpura Road,3,PrarePa,1100,2,1.0,58.0
Super built-up  Area,0,Other,3,Other,1200,3,2.0,46.0
Built-up  Area,3,Haralur Road,4,SNnia E,3385,5,2.0,260.0
Super built-up  Area,0,Other,3,Other,1641,3,2.0,66.0
Super built-up  Area,0,Other,2,Other,1200,2,1.0,45.0
Super built-up  Area,0,Raja Rajeshwari Nagar,2,Other,1260,2,1.0,67.39
Super built-up  Area,0,Other,3,Other,1720,3,3.0,78.0
Super built-up  Area,0,Yelahanka,2,Other,1132,2,0.0,48.13
Super built-up  Area,0,Yelahanka,2,Other,1210,2,1.0,45.98
Built-up  Area,0,Other,4,Other,2200,4,2.0,200.0
Super built-up  Area,0,Bisuvanahalli,3,Prityel,1075,2,1.0,45.0
Built-up  Area,0,Thanisandra,3,Soitya ,1702,3,2.0,130.0
Super built-up  Area,0,Other,2,Other,1630,2,2.0,200.0
Super built-up  Area,0,Raja Rajeshwari Nagar,2,GrrvaGr,1141,2,2.0,38.55
Super built-up  Area,4,Other,3,Other,2072,3,2.0,108.0
Built-up  Area,0,Other,3,Other,1200,2,0.0,70.0
Super built-up  Area,0,Other,3,Other,1350,3,0.0,77.0
Built-up  Area,3,Other,4,Other,4046,4,0.0,445.0
Super built-up  Area,12,Other,3,Other,1180,2,2.0,78.34
Super built-up  Area,0,Other,2,Other,1355,2,2.0,115.0
Plot  Area,0,Other,1,Other,600,1,0.0,50.0
Plot  Area,0,Hormavu,7,Other,1200,7,2.0,150.0
Super built-up  Area,0,Bannerghatta Road,3,Other,1640,2,1.0,120.0
Plot  Area,0,Other,5,Other,1200,5,0.0,100.0
Super built-up  Area,0,Other,3,Other,1190,2,2.0,57.0
Plot  Area,0,Other,4,Other,2400,4,2.0,375.0
Super built-up  Area,0,Marathahalli,2,Other,1019,2,2.0,49.85
Super built-up  Area,0,Other,3,Other,1875,3,2.0,165.0
Super built-up  Area,5,Akshaya Nagar,3,Other,1250,3,2.0,40.0
Plot  Area,0,Other,3,Other,1200,3,2.0,140.0
Super built-up  Area,0,Whitefield,2,Other,1140,2,1.0,56.0
Super built-up  Area,0,Other,3,Other,1683,3,1.0,109.0
Super built-up  Area,0,Kaggadasapura,3,Other,1515,3,2.0,83.3
Super built-up  Area,12,Hoodi,4,Other,2118,4,2.0,111.0
Built-up  Area,0,Bannerghatta Road,4,Other,1380,3,0.0,58.0
Super built-up  Area,0,Other,2,Other,1083,2,2.0,61.75
Plot  Area,0,Other,2,Other,600,2,1.0,55.0
Built-up  Area,0,Other,3,Other,2300,3,3.0,120.0
Super built-up  Area,0,Other,2,Other,1240,2,2.0,60.0
Super built-up  Area,0,Other,3,Other,1750,3,1.0,120.0
Super built-up  Area,4,Other,2,Other,1230,2,2.0,43.48
Plot  Area,8,Other,3,Other,1500,3,1.0,139.0
Super built-up  Area,0,Other,2,Other,985,2,1.0,40.39
Plot  Area,0,Other,3,Other,1500,2,1.0,87.0
Built-up  Area,12,Electronic City,2,Other,1125,2,1.0,32.49
Built-up  Area,0,Other,2,Other,950,2,1.0,44.0
Super built-up  Area,0,Kothanur,3,Other,1580,3,3.0,76.0
Plot  Area,0,Other,3,Other,1092,2,1.0,98.5
Built-up  Area,7,Electronic City Phase II,2,Sryalan,1090,2,1.0,28.34
Built-up  Area,3,Hennur Road,3,Other,2264,3,1.0,159.0
Super built-up  Area,8,Other,3,Other,1033,2,2.0,25.53
Super built-up  Area,4,Other,2,Other,810,2,2.0,24.5
Super built-up  Area,0,Other,2,Other,1045,2,0.0,45.0
Super built-up  Area,9,Hebbal,2,Other,1337,2,1.0,82.0
Super built-up  Area,0,Chandapura,2,Other,1200,2,2.0,32.0
Super built-up  Area,0,Koramangala,3,Other,1580,3,2.0,160.0
Super built-up  Area,0,Begur Road,3,Dhalsh ,1500,2,3.0,54.0
Super built-up  Area,9,Whitefield,3,Other,1640,4,2.0,91.0
Super built-up  Area,0,Other,3,Other,1570,3,2.0,62.0
Super built-up  Area,0,Other,3,Other,1470,2,2.0,82.0
Super built-up  Area,0,Kengeri,2,Other,1160,2,2.0,40.61
Built-up  Area,0,7th Phase JP Nagar,2,Other,1050,2,1.0,71.0
Super built-up  Area,6,Other,3,Other,1855,3,1.0,225.0
Super built-up  Area,0,Bannerghatta Road,3,SNity S,1460,2,1.0,90.0
Built-up  Area,0,Hulimavu,3,Other,1823,3,2.0,100.0
Super built-up  Area,0,Electronic City,2,Other,1094,2,2.0,42.0
Super built-up  Area,0,Budigere,2,PrityTr,1153,2,2.0,57.0
Built-up  Area,0,Other,3,Other,1325,3,1.0,57.0
Plot  Area,0,Other,4,Other,1200,3,2.0,85.0
Built-up  Area,0,Jakkur,3,Other,1590,2,2.0,125.0
Plot  Area,0,Other,5,Other,1210,4,2.0,160.0
Plot  Area,0,Raja Rajeshwari Nagar,4,Other,1200,4,0.0,220.0
Super built-up  Area,0,Other,2,Other,1202,2,1.0,48.0
Built-up  Area,0,Haralur Road,2,Other,1202,2,1.0,53.0
Super built-up  Area,0,Other,2,Other,1200,2,3.0,62.5
Super built-up  Area,2,Panathur,3,Other,1688,3,1.0,118.0
Built-up  Area,0,Other,2,Other,1020,2,1.0,52.0
Super built-up  Area,0,Sarjapur,2,Other,1185,2,2.0,47.0
Super built-up  Area,10,Ramagondanahalli,2,Other,1235,2,1.0,52.04
Super built-up  Area,0,Other,4,Other,3205,5,1.0,500.0
Super built-up  Area,0,Banashankari,2,Other,1077,2,2.0,37.64
Super built-up  Area,0,Other,3,Other,1415,2,3.0,66.0
Super built-up  Area,4,Other,3,Other,2330,3,2.0,162.0
Super built-up  Area,0,Whitefield,2,Other,805,2,2.0,35.0
Built-up  Area,0,Other,1,Other,425,1,0.0,20.03
Super built-up  Area,0,Whitefield,2,Other,1155,2,3.0,59.95
Super built-up  Area,0,Other,2,Other,656,2,1.0,22.0
Built-up  Area,0,Other,2,Other,1100,2,0.0,48.0
Super built-up  Area,0,Other,2,Other,1150,2,3.0,52.0
Plot  Area,0,Other,1,Other,600,1,1.0,60.0
Super built-up  Area,0,Other,2,Other,1468,2,1.0,140.0
Plot  Area,0,Other,4,Other,4300,5,2.0,550.0
Super built-up  Area,12,Whitefield,3,Prtates,2280,4,2.0,126.0
Super built-up  Area,0,Other,2,Other,1341,2,1.0,97.0
Super built-up  Area,0,Jakkur,2,Other,1279,2,1.0,77.0
Super built-up  Area,12,Electronic City Phase II,4,Other,2225,4,0.0,98.88
Super built-up  Area,0,Thanisandra,2,MenueNo,1185,2,2.0,43.51
Super built-up  Area,0,Other,3,Other,1750,3,2.0,85.0
Super built-up  Area,0,Other,2,Other,1152,2,1.0,53.5
Plot  Area,0,Other,5,Other,1000,4,1.0,160.0
Super built-up  Area,0,Hulimavu,2,Other,1300,2,3.0,36.0
Plot  Area,11,Other,4,Other,2760,4,2.0,155.0
Super built-up  Area,8,Other,2,Other,1070,2,2.0,39.0
Super built-up  Area,0,Uttarahalli,2,Other,1101,2,0.0,45.0
Super built-up  Area,0,Other,2,Other,775,2,1.0,55.0
Super built-up  Area,0,Yeshwanthpur,1,IBityin,667,1,1.0,36.85
Super built-up  Area,0,Electronic City,2,GMown E,1070,2,1.0,55.0
Built-up  Area,0,Other,3,Other,1875,2,2.0,110.0
Super built-up  Area,0,Other,2,Other,735,2,1.0,57.99
Plot  Area,0,Sarjapur,5,Other,4360,4,1.0,90.0
Super built-up  Area,0,Koramangala,3,Other,1750,3,2.0,130.0
Super built-up  Area,0,Marathahalli,2,Other,1215,2,1.0,67.0
Plot  Area,0,Other,9,Other,600,9,3.0,190.0
Super built-up  Area,0,Other,2,Other,820,2,1.0,30.0
Super built-up  Area,12,Other,2,Other,1178,2,0.0,59.935
Super built-up  Area,0,Other,3,Other,1779,3,2.0,89.61
Built-up  Area,0,Other,2,Other,1105,2,2.0,58.0
Super built-up  Area,0,Whitefield,3,Other,1650,3,2.0,60.0
Super built-up  Area,0,Jalahalli,2,Other,1694,2,2.0,150.0
Super built-up  Area,0,Other,3,Other,2376,3,1.0,203.0
Super built-up  Area,0,Other,3,Other,1975,3,3.0,150.0
Super built-up  Area,0,Other,2,Other,674,2,1.0,33.0
Super built-up  Area,0,Kaggadasapura,2,Other,1185,2,1.0,41.0
Super built-up  Area,0,Other,1,Bhmesy ,445,1,0.0,28.0
Built-up  Area,0,Other,6,Other,900,7,2.0,76.0
Super built-up  Area,0,HSR Layout,3,Other,1475,3,2.0,75.0
Super built-up  Area,0,Other,3,Other,1618,3,3.0,82.5
Super built-up  Area,0,Koramangala,2,Other,1120,2,0.0,65.0
Super built-up  Area,0,Marathahalli,4,Other,2181,3,2.0,152.0
Plot  Area,0,Other,4,Other,1200,4,0.0,90.0
Plot  Area,0,Other,6,Other,600,4,3.0,65.0
Super built-up  Area,10,Bannerghatta Road,3,Other,1556,2,1.0,59.13
Super built-up  Area,2,Bannerghatta Road,2,Other,1179,2,1.0,66.02
Super built-up  Area,0,Thanisandra,2,Bhmesy ,1296,2,2.0,83.0
Built-up  Area,0,Kaggadasapura,2,Other,1275,2,2.0,52.0
Built-up  Area,0,Other,7,Other,1875,2,2.0,300.0
Super built-up  Area,0,Other,3,Other,1400,2,2.0,77.0
Super built-up  Area,0,Other,2,Other,1222,2,1.0,63.0
Super built-up  Area,0,Electronic City,2,Other,940,2,1.0,41.0
Super built-up  Area,0,Thanisandra,2,MenueNo,1185,2,2.0,42.6
Super built-up  Area,0,Other,3,Other,1779,3,2.0,112.0
Super built-up  Area,0,Begur Road,3,Dhalsh ,1615,3,2.0,59.76
Super built-up  Area,12,JP Nagar,4,Other,4624,2,2.0,453.0
Super built-up  Area,0,Haralur Road,2,Other,1056,2,1.0,61.0
Super built-up  Area,0,7th Phase JP Nagar,2,Other,1100,2,0.0,46.0
Built-up  Area,0,Other,2,Other,920,2,1.0,40.0
Super built-up  Area,0,Other,3,Other,1602,2,0.0,75.0
Built-up  Area,0,Other,2,Other,1176,2,0.0,62.0
Plot  Area,0,Other,4,Other,675,3,1.0,59.0
Super built-up  Area,0,Other,3,Other,1352,3,0.0,135.0
Built-up  Area,0,Kasavanhalli,3,Other,1717,3,3.0,99.0
Super built-up  Area,7,Other,4,Rosha I,2119,4,3.0,111.0
Super built-up  Area,0,Other,2,Prlla C,1246,2,1.0,67.3
Super built-up  Area,7,Other,2,Other,1141,2,1.0,42.79
Built-up  Area,0,Hennur Road,2,Other,1157,2,1.0,84.0
Super built-up  Area,8,Chandapura,2,Other,1025,2,2.0,27.68
Built-up  Area,0,Other,1,Other,650,1,2.0,33.0
Super built-up  Area,0,Hebbal,2,Other,1349,2,1.0,98.0
Super built-up  Area,0,Other,3,Other,1566,3,1.0,83.3
Super built-up  Area,0,Other,4,Other,2830,3,3.0,195.0
Built-up  Area,12,Electronic City,3,Other,1320,2,1.0,38.13
Super built-up  Area,11,Other,3,Other,1780,3,1.0,84.83
Super built-up  Area,0,Varthur,2,Other,1091,2,1.0,34.9
Super built-up  Area,0,Rachenahalli,4,Other,3670,4,3.0,300.0
Built-up  Area,0,7th Phase JP Nagar,2,Other,918,2,1.0,50.49
Super built-up  Area,12,Yeshwanthpur,4,Other,1950,4,0.0,130.0
Super built-up  Area,0,Panathur,3,Other,1695,3,1.0,90.0
Super built-up  Area,0,Yelahanka,3,Other,1705,3,2.0,95.0
Built-up  Area,0,Other,3,Other,1375,3,2.0,75.0
Super built-up  Area,10,Kanakpura Road,1,PrarePa,525,1,1.0,30.0
Built-up  Area,12,Whitefield,2,Other,1447,2,1.0,83.0
Super built-up  Area,0,Thanisandra,2,Other,1114,2,1.0,39.0
